group,filename,hip_ROM,knee_ROM,ankle_ROM,pelvis_obliquity,trunk_lean_ROM,shoulder_ROM,elbow_ROM,hip_SPARC,knee_SPARC,hip_SI,knee_SI,ankle_SI,hip_waveform_sym,cadence,stride_time,stride_time_CV,kinematic_CV,hip_CRP_MAD,hip_knee_CRP,arm_swing_ROM,arm_swing_SI,double_support,MQS,GDI,confidence,observed_fraction,n_strides
runway,RPReplay_Final1780187155.mov,16.96033676871601,18.587713710218882,16.8057787814448,,,22.242554897682147,98.38789103038165,-13.252539556185635,-13.763788641023522,7.648514991397351,21.20910374466808,0.5803314743737986,82.3063654851301,76.2670624034626,1.573418409184092,11.641393653339847,20.83596776458391,30.06843065953882,88.4719488121369,22.242554897682147,2.4068750067032765,12.85866910866911,42.41554383360973,11.184061318935449,0.8294796101438298,1.0,6.0
runway,RPReplay_Final1780187419.mov,63.95054369473282,20.090676869508638,27.068108222925314,19.535184020604603,38.03029863823143,160.80711902243127,165.70402122869825,-15.478557152674192,-20.72642523728492,2.660110132210071,17.239676378583972,0.9293163136728719,63.37877208100996,72.41457343290337,1.657125,90.16150051082593,52.89884492399572,64.28320152489432,85.19526139472524,160.80711902243127,1.7166833033868203,0.0,28.67354193334146,7.143914571937991,0.5522982142744026,0.9944547134935305,4.0
runway,RPReplay_Final1780187559.mov,34.31986529589308,16.704041056532365,22.206003913610726,26.445806245546784,,83.99828497349847,61.43228203156178,-18.469233936556655,-19.540661771904503,25.370055970051425,16.461120632156117,2.900572857512129,27.560966437536187,88.60325720790836,1.3543520157325468,44.44547569682831,37.546756262780285,99.83966851453208,85.22568332673875,83.99828497349847,1.5792825458624264,9.955277234181343,30.25201559325561,10.309866441993805,0.612214166897554,1.0,5.0
runway,RPReplay_Final1780187979.mov,16.724380990175387,28.091064967696916,28.831230805105612,0.0,,18.325599584864328,11.355716336689193,-11.731389120464145,-11.734533151211139,0.9234432542450565,25.679590802163077,3.6633478842434557,78.03327761463773,105.60538116591928,1.1363057324840764,19.136638615493577,22.01024738178485,37.361333988295286,45.52795341865999,18.325599584864328,4.2155802916826115,4.166666666666667,51.43393548088329,13.861591172267303,0.6798337437498395,1.0,3.0
runway,RPReplay_Final1780188378.mov,59.78634269078995,146.566515314603,57.96367797443888,33.639845625031384,23.231337426473374,67.11541337434619,138.14927857702074,-11.698309629025996,-11.457024023680257,14.710570503426599,22.319774302400265,2.0774652205532496,9.836276585565711,57.81337306761036,2.075644329896907,,58.44694905809729,69.56817701674395,72.13724237823274,67.11541337434619,3.738308486582597,10.550458715596333,11.653857382202233,9.713507651833794,0.7443968869614698,0.9972067039106145,2.0
runway,RPReplay_Final1780188950.mov,13.769251733975914,13.481122978923764,17.63728717616081,,,14.52272517589951,14.057105242227404,-10.721432890174547,-12.590532033379276,4.498653022961759,64.67512215292545,0.07533155760802966,85.66681066746753,109.75729837165623,1.0933213716108454,8.079652034615581,21.63658797768787,27.61225378033619,53.383289645010336,14.52272517589951,4.4120927085809605,30.99108734402852,45.28022620659843,10.94327390369677,0.7967551868977969,1.0,5.0
runway,RPReplay_Final1780188981.mov,16.46700452338364,14.052287299966325,19.099138453744565,,,14.243827537230693,12.864053155362255,-11.34398821047738,-15.796219729648591,1.0907976569939608,33.54984846661343,1.625105396947874,88.28167499939651,64.23559481421348,1.8681231231231232,5.43839460399632,20.076015778289392,20.64361548771296,65.85708426404734,14.243827537230693,6.719926025549949,15.198672061417161,44.80418932601354,11.065697996694531,0.7479793906989958,1.0,3.0
runway,RPReplay_Final1780189742.mov,21.56386325049882,19.983140120653903,22.236299568585387,,,16.517541989926002,19.99638898343949,-11.99125002255622,-16.835725444377406,2.949269874018888,42.58520835131462,0.926695553027788,67.14059872285443,82.81262190321506,1.4490544707091468,30.950353078816867,36.21211818589229,40.50582350244911,62.60707026920424,16.517541989926002,6.481892391861894,28.259699478963885,41.754329263394325,10.593437440896693,0.7197983497151976,1.0,7.0
runway,RPReplay_Final1780190059.mov,10.28617226976461,8.996425255692225,19.51048378422362,,,16.048832638147232,11.02962516132638,-12.86001704867796,-15.106308654284906,20.894198375695506,6.4305905774086884,2.2267169624534366,51.8733155193269,99.23272797559521,1.2092784552845528,46.95141302920494,33.17528355288487,46.47390919884474,60.44410494376439,16.048832638147232,3.072931548179491,0.0,29.740415122368088,12.037243001263889,0.5344225063846979,1.0,3.0
runway,RPReplay_Final1780190114.mov,18.74247670309488,12.38590828293707,25.58572654276222,,,15.562617094780151,10.411453309859615,-9.254354014036807,-14.5885672628832,20.552403743322234,30.732297968143808,2.1884491805348043,75.60552059903848,106.83215491464505,1.12325731981982,21.742454110263722,22.457164386190872,31.820821260813435,70.98765451110263,15.562617094780151,5.511753177714419,46.315215293784775,41.43820943981773,12.482071133241533,0.6371631282200018,1.0,4.0
runway,RPReplay_Final1780190180.mov,18.227323756684065,13.253052896644594,24.863835234466386,,,17.352802006867087,13.078068575724988,-13.254098846328034,-20.644851507451285,19.61601459122609,19.271906607083856,0.7932011917641948,74.58554475735136,81.86373885998886,1.465850468975469,25.753375040399384,23.563437975946808,40.96169638409874,71.41272202182665,17.352802006867087,6.973908714535653,11.236169924113186,38.77211760264329,14.925076096397042,0.5804098300909416,1.0,8.0
runway,RPReplay_Final1780190294.mov,20.112232531906976,19.280938722257883,27.697330300774105,,,22.47903417634004,39.659464089216016,-10.542135397020575,-16.036005944410334,13.480051962431066,29.86476507991619,1.6654089379184085,76.16150936239801,98.33459707846488,1.2203232998885172,12.941203062746665,16.07171505126557,21.88171715929736,64.10574836826,22.47903417634004,6.4831884493899565,7.954280761000599,49.293703472608485,11.049542824965947,0.7224557410199207,1.0,6.0
runway,RPReplay_Final1780190346.mov,17.1226376105827,10.134243687816065,19.093226151241254,,,17.623213246022296,10.14424446186603,-10.201380932726737,-16.09254296303012,0.17706762162458428,2.675442849635413,1.6913199966385133,87.26514908957756,100.0831159897968,1.1990034364261168,22.381804654319566,23.312180430355756,31.428243365429235,66.4569476597878,17.623213246022296,4.371295276668896,2.848101265822783,42.146055757601154,11.107429222541043,0.5019021840427386,1.0,4.0
runway,RPReplay_Final1780190400.mov,24.304268508209713,22.18195742486212,20.675171010296943,3.0406463867250757,,45.555365569295844,42.17013313027562,-13.642241238069902,-20.220617987464053,21.161365409855858,54.896419199572414,1.43311213848344,54.59460985375896,52.87759068276283,2.2693923541247485,6.390622905856651,17.40293521843622,28.044137616395126,59.99278728163027,45.555365569295844,7.624906548341319,6.688110041233664,41.62346764214021,12.53141685096741,0.6655721413029613,1.0,7.0
runway,RPReplay_Final1780190503.mov,16.52035511432718,12.398365465944668,16.31457237173634,,,16.275850641728397,16.84709133989067,-10.769724909511556,-11.70654269889444,4.299013565652235,0.4921130467771846,0.5700338249311486,81.51930071258096,104.38634503346333,1.1495756457564577,,4.526185256799143,31.689992694349844,44.650732681362726,16.275850641728397,3.9099971291957405,3.2886415380723566,56.799045114659904,13.414946765162213,0.7583861132550518,1.0,2.0
